Release Date,a,b,c,d,e,f,g,h
Released to Date,32775000,,,23275000,14140000,3267285,476412,40500000
"March 16, 2020",15525000,,,,,,,
"April 1, 2020",,,,11025000,9000000,,,
"April 6, 2020",,,,,,1415992,152825,
"April 16, 2020",15525000,,,,,,,
"May 1, 2020",,,,11025000,9000000,,,
"May 6, 2020",,,,,,1306191,152825,
"May 16, 2020",15525000,,,,,,,
"June 1, 2020",,,,11025000,9000000,,,
"June 6, 2020",,,,,,1247284,152825,
"June 16, 2020",15525000,,,,,,,
"July 1, 2020",,,,11025000,9000000,,,
"July 6, 2020",,,,,,638314,152825,
"July 16, 2020",15525000,,,,,,,
"August 1, 2020",,,,11025000,9000000,,,
"August 6, 2020",,,,,,548749,152825,
"August 16, 2020",15525000,,,,,,,
"September 1, 2020",,,,11025000,9000000,,,
"September 6, 2020",,,,,,496211,152825,
"September 16, 2020",15525000,,,,,,,
"October 1, 2020",,,,11025000,9000000,,,
"October 6, 2020",,,,,,355073,152825,
"October 16, 2020",15525000,,,,,,,
"November 1, 2020",,,,11025000,7380000,,,
"November 6, 2020",,,,,,355075,152825,
"November 16, 2020",15525000,,,,,,,
"December 1, 2020",,,,11025000,9000000,,,
"December 6, 2020",,,,,,355073,152825,
"December 9, 2020",,22470022,33790106,,,,,
"January 6, 2021",,,,,,,152825,
"January 9, 2021",,3745004,,,,,,
"February 6, 2021",,,,,,,152825,
"February 9, 2021",,3745004,,,,,,
"March 6, 2021",,,,,,,152825,
"March 9, 2021",,3745004,,,,,,
"April 6, 2021",,,,,,,152825,
"April 9, 2021",,3745004,,,,,,
"May 6, 2021",,,,,,,152825,
"May 9, 2021",,3745004,,,,,,
"June 6, 2021",,,,,,,152825,
"June 9, 2021",,3745004,,,,,,
"Post December 6, 2020",,,,,,7311021,,
"Post June 6, 2021",,,,,,,963525,
